C,C#,D,D#,E,F,F#,G,G#,A,A#,B,label
0.221411239,0.008083726,0.129253182,0.102101707,0.024366213,0.092684216,0.0,0.200259774,0.040418629,0.039912745,0.101595824,0.039912745,13
0.2757804,0.0,0.087632676,0.0,0.151752399,0.046880701,0.005860088,0.134014666,0.029300438,0.156972151,0.0,0.111806481,1
0.204845201,0.009385022,0.140932418,0.0,0.151038313,0.075080174,0.009385022,0.179724303,0.018770043,0.138639534,0.0,0.07219997,1
0.178759504,0.0,0.106001297,0.135022843,0.015849285,0.084992128,0.009361068,0.207004754,0.037444274,0.059781775,0.106001297,0.059781775,13
0.19329542,0.0,0.100406242,0.226232103,0.015401497,0.085304108,0.00794949,0.159474084,0.069105764,0.00794949,0.103581324,0.031300478,13
0.219000909,0.0,0.117102819,0.01373286,0.186458103,0.032224886,0.041296292,0.168006309,0.011625596,0.082512093,0.0,0.128040134,1
0.207291081,0.0,0.142778141,0.0,0.11440108,0.087345343,0.005896828,0.210687936,0.0,0.129445108,0.015880786,0.086273697,1
0.191618531,0.012676412,0.144426514,0.0,0.122567353,0.110197394,0.018617969,0.209553367,0.0,0.09721453,0.012676412,0.08045152,1
0.157958511,0.0,0.113122281,0.0,0.192718045,0.101147175,0.00695664,0.183650943,0.017173925,0.121057341,0.00347832,0.102736819,1
0.166104552,0.0,0.121266558,0.160820604,0.013392147,0.133215837,0.0,0.161597,0.086146106,0.0,0.11575465,0.041702546,13
0.166579022,0.005167809,0.126712579,0.154341647,0.0,0.121136587,0.0,0.165285406,0.055259929,0.010335617,0.159653552,0.035527853,13
0.223617206,0.00942575,0.145160729,0.0,0.157479182,0.093077764,0.0,0.176781188,0.0,0.112519133,0.0,0.081939048,1
0.277133809,0.0,0.132384464,0.0,0.165690345,0.132177992,0.0,0.128708278,0.0,0.0860008,0.0,0.077904312,1
0.197961093,0.0,0.133788315,0.154227695,0.0,0.083575479,0.0,0.2146914,0.065977424,0.010088816,0.067751212,0.071938566,13
0.192806458,0.002902212,0.129212589,0.002902212,0.163083463,0.052239819,0.014511061,0.217266717,0.011427227,0.117439558,0.0,0.096208684,1
0.187209977,0.006421296,0.132895979,0.0,0.153167935,0.081760861,0.012842592,0.207660293,0.00943102,0.105140708,0.0,0.103469338,1
